1;1301;405;1575;581
2;1148;459;1251;514
2;1251;463;1396;519
2;1145;512;1395;635
3;1224;494;1424;611
3;1321;458;1423;509
3;1231;451;1322;501
4;967;165;1091;221
4;850;220;1092;368
4;850;167;967;222
5;1296;367;1707;561
5;1491;292;1709;372
5;1300;282;1486;364
6;1267;336;1545;504
6;1390;278;1540;340
6;1272;274;1388;335
6;0;1007;75;1083
7;1269;374;1526;550
8;1426;1043;1501;1085
8;1334;218;1661;379
8;1329;369;1659;544
9;641;127;1089;363
9;647;35;853;125
9;858;41;1090;133
10;1098;539;1194;585
10;1193;535;1314;582
10;1100;578;1319;680
11;745;348;1005;495
11;756;293;876;356
11;874;307;1010;371
12;1120;454;1470;701
12;1290;401;1473;487
12;1140;381;1290;465
13;830;160;1010;231
13;578;155;795;407
13;830;231;1012;410
14;619;157;951;434
15;738;385;914;552
16;1213;376;1575;532
16;1390;306;1572;381
16;1213;299;1386;375
17;1195;348;1548;539
18;512;80;801;348
19;1236;342;1617;531
19;1246;267;1418;343
19;1426;278;1619;351
